"nbcar","nb_rec","men","ind_srf","ind_age6","Revenue_personne","lon","lat"
1,347.5,136,6500304,233,18705.9107913669,5.37492480773778,43.2445633845243
1,177,72,4136544,120,23370.3050847458,5.37737712453482,43.2446744091046
1,416.5,208,8562203,329,20557.5102040816,5.37982944961716,43.2447853748773
1,420,188,9225976,303,21966.6095238095,5.38228178298048,43.244896281842
1,232.5,99,4309307,154,18534.6537634409,5.38473412462045,43.2450071299984
1,142.5,67,2818024,109,19775.6070175439,5.38718647453274,43.2451179193461
1,197,104,3902473,153,19809.5076142132,5.38963883271303,43.245228649885
1,677.5,289,13243889,512,19548.1756457565,5.39209119915699,43.2453393216146
1,194,76,2896094,127,14928.3195876289,5.39454357386031,43.2454499345346
1,844,388,13119082,618,15543.9360189573,5.39699595681864,43.2455604886447
1,650,336,12807106,467,19703.24,5.39944834802768,43.2456709839446
1,445,254,8268131,337,18580.0696629213,5.40190074748308,43.245781420434
1,237,109,5423970,175,22885.9493670886,5.40435315518053,43.2458917981125
1,158.5,78,3926085,122,24770.2523659306,5.4068055711157,43.2460021169799
1,313,135,7455406,219,23819.1884984026,5.40925799528427,43.2461123770358
3,296.5,137,7634656,215,8583.08712759978,5.41416286830427,43.2463327207119
3,296.5,137,7634656,215,8583.08712759978,5.41661531714705,43.2464428043314
1,41,22,888740,33,21676.5853658537,5.41906777420593,43.2465528291383
1,141,62,3359595,108,23826.914893617,5.42152023947656,43.246662795132
1,444.5,182,8829546,286,19863.9955005624,5.42397271295462,43.2467727023124
1,147.5,49,2262960,85,15342.1016949153,5.4264251946358,43.2468825506791
1,68.5,25,1758295,49,25668.5401459854,5.42887768451575,43.2469923402318
4,52,17,1427544,34,6863.19230769231,5.43133018259015,43.2471020709701
4,52,17,1427544,34,6863.19230769231,5.43378268885468,43.2472117428938
1,20,13,378153,17,18907.65,5.43623520330501,43.2473213560026
2,96,40,1933909,72,10072.4427083333,5.4386877259368,43.2474309102961
2,77,28,1711261,50,11112.0844155844,5.44114025674573,43.247540405774
2,85,37,2006651,65,11803.8294117647,5.44359279572749,43.247649842436
3,56,23,1261006,41,7505.98809523809,5.44604534287772,43.2477592202818
1,24,11,561202,21,23383.4166666667,5.44849789819211,43.247868539311
1,114.5,73,2249195,95,19643.6244541485,5.37233048526768,43.2462535994039
1,252,133,5473337,197,21719.5912698413,5.37478286853563,43.2463646867414
1,212.5,88,5307746,158,24977.6282352941,5.37723526009424,43.2464757152694
1,504.5,225,10624006,355,21058.485629336,5.3796876599392,43.2465866849877
1,194,80,4456557,136,22971.9432989691,5.38214006806618,43.2466975958959
1,406.5,206,8689526,298,21376.4477244772,5.38459248447084,43.2468084479938
1,256,131,5788443,206,22611.10546875,5.38704490914888,43.246919241281
1,35,20,783023,31,22372.0857142857,5.38949734209595,43.2470299757571
1,301,133,6293972,222,20910.2059800664,5.39194978330774,43.247140651422
1,299,131,5242544,221,17533.5919732441,5.39685469050815,43.2473618263164
1,238.5,125,4905077,183,20566.3605870021,5.39930715648813,43.2474723255453
2,475,234,10492108,355,11044.3242105263,5.40175963071551,43.2475827659617
2,475,234,10492108,355,11044.3242105263,5.40421211318598,43.2476931475651
2,960.5,430,18697320,687,9733.11816762103,5.4066646038952,43.2478034703553
2,960.5,430,18697320,687,9733.11816762103,5.40911710283885,43.247913734332
1,32,11,908358,22,28386.1875,5.41156961001261,43.2480239394948
3,296.5,137,7634656,215,8583.08712759978,5.41402212541214,43.2481340858434
1,1601,848,33751093,1281,21081.257339163,5.41892718087122,43.2483542020967
2,82,35,1980726,53,12077.5975609756,5.42137972092212,43.2484641720009
1,168,58,2906439,90,17300.2321428571,5.42383226918149,43.2485740830896
2,50.5,13,1365808,25,13522.8514851485,5.4287373903083,43.2487937288194
2,96,40,1933909,72,10072.4427083333,5.43854773087311,43.2492323144796
2,77,28,1711261,50,11112.0844155844,5.44100033647056,43.2493418138514
2,85,37,2006651,65,11803.8294117647,5.44345295024185,43.2494512544051
3,56,23,1261006,41,7505.98809523809,5.44590557218266,43.2495606361406
1,273.5,144,5933957,212,21696.3692870201,5.3746409177153,43.2481659859829
1,282.5,139,7121198,224,25207.7805309735,5.37709338404156,43.2482770184589
1,167,73,3783727,123,22657.0479041916,5.37954585865521,43.2483879921231
1,325,141,7516270,248,23126.9846153846,5.38199834155191,43.2484989069753
1,484.5,238,9908497,364,20450.9742002064,5.38445083272735,43.2486097630149
1,79.5,39,1433177,57,18027.3836477987,5.3869033321772,43.2487205602418
1,306,149,5925465,228,19364.2647058824,5.38935583989713,43.2488312986557
1,539.5,290,13041847,421,24173.9518072289,5.39180835588281,43.2489419782561
1,137.5,74,3299085,106,23993.3454545455,5.39426088012992,43.2490525990428
1,416,214,9366028,327,22514.4903846154,5.39671341263413,43.2491631610155
1,138,67,3243113,105,23500.8188405797,5.39916595339112,43.2492736641738
1,271,139,5905360,206,21790.9963099631,5.40161850239655,43.2493841085175
1,66,20,1569574,38,23781.4242424242,5.40407105964611,43.2494944940461
1,564.5,223,11666745,374,20667.3959255979,5.40652362513546,43.2496048207595
1,50.5,17,1343467,31,26603.3069306931,5.40897619886028,43.2497150886572
1,87,32,2215898,68,25470.091954023,5.41142878081623,43.249825297739
2,177,106,4143889,140,11705.9011299435,5.413881370999,43.2499354480046
2,177,106,4143889,140,11705.9011299435,5.41633396940425,43.2500455394535
2,82,35,1980726,53,12077.5975609756,5.42123919086489,43.2502655459005
1,3915,1887,81966904,2902,20936.6293742018,5.42369181391163,43.2503754608978
2,50.5,13,1365808,25,13522.8514851485,5.42859708461628,43.2505951144387
4,52,17,1427544,34,6863.19230769231,5.43104973226555,43.2507048529816
4,52,17,1427544,34,6863.19230769231,5.433502388107,43.2508145327057
3,56,23,1261006,41,7505.98809523809,5.44576579004556,43.2513620490334
1,248.5,136,5221560,189,21012.3138832998,5.37449895527548,43.2499672822492
1,382.5,189,7525485,288,19674.4705882353,5.37695149637545,43.2500783186736
1,289,149,5383154,217,18626.830449827,5.37940404576386,43.2501892962841
1,413,232,7676620,316,18587.4576271186,5.38185660343637,43.2503002150804
1,33,11,752629,19,22806.9393939394,5.38430916938865,43.2504110750623
1,366.5,177,8359847,271,22809.9508867667,5.38676174361639,43.2505218762292
1,189.5,92,4422283,145,23336.5857519789,5.38921432611524,43.2506326185811
1,334,165,8398099,263,25144.0089820359,5.39166691688089,43.2507433021174
1,359,175,8102242,271,22568.9192200557,5.39411951590901,43.250853926838
1,96,46,1938801,74,20195.84375,5.39657212319527,43.2509644927424
1,74,26,1925026,48,26013.8648648649,5.39902473873535,43.2510749998305
1,199,82,4741368,147,23825.9698492462,5.40147736252491,43.2511854481018
1,910.5,406,12959129,619.5,14232.9807797913,5.40392999455963,43.251295837556
1,315.5,156,8020950,247,25422.9793977813,5.40638263483518,43.2514061681928
1,398.5,196,9262430,307,23243.2371392723,5.40883528334723,43.251516440012
1,346,144,8402316,235,24284.1502890173,5.41128794009146,43.2516266530131
1,168,76,4237699,124,25224.3988095238,5.41374060506353,43.251736807196
2,222.5,134,4837177,187,10870.0606741573,5.41619327825913,43.2518469025601
1,288.5,159,6918195,226,23979.8786828423,5.41864595967391,43.2519569391053
1,202,90,4731551,140,23423.5198019802,5.42109864930356,43.2520669168313
1,50,20,1163159,34,23263.18,5.42600405319013,43.252286695824
1,68,26,1635882,52,24057.0882352941,5.42845676743839,43.2523964970902
1,65,21,1652334,43,25420.5230769231,5.4309094898842,43.2525062395359
1,28,11,724842,20,25887.2142857143,5.43336222052323,43.2526159231606
4,55,22,1334306,40,6065.02727272727,5.43581495935115,43.2527255479643
4,55,22,1334306,40,6065.02727272727,5.43826770636363,43.2528351139464
1,83,40,1760638,66,21212.5060240964,5.37435698121484,43.2517685755408
1,247,111,5544728,181,22448.2914979757,5.37680959709461,43.2518796159139
1,414,214,8614328,326,20807.5555555556,5.37926222126385,43.251990597471
1,130,65,3188481,101,24526.7769230769,5.38171485371823,43.2521015202119
1,77,45,1618369,60,21017.7792207792,5.38416749445343,43.2522123841362
1,236.5,118,5664562,195,23951.6363636364,5.38662014346513,43.2523231892436
1,317.5,166,8231372,257,25925.5811023622,5.38907280074898,43.2524339355337
1,568,261,10895201,416,19181.6919014085,5.39152546630068,43.2525446230063
1,264,114,5883695,185,22286.7234848485,5.39397814011588,43.2526552516611
1,463,231,10175299,357,21976.8876889849,5.39643082219026,43.2527658214976
1,243,110,5544949,176,22818.7201646091,5.3988835125195,43.2528763325157
1,107,42,2350956,69,21971.5514018692,5.40133621109926,43.252986784715
1,78.5,34,1826664,59,23269.6050955414,5.40378891792521,43.2530971780951
1,86.5,33,2121424,60,24525.1329479769,5.40624163299304,43.2532075126558
1,81,29,1968620,52,24303.950617284,5.4086943562984,43.2533177883967
1,273.5,113,6472095,195,23663.9670932358,5.41114708783698,43.2534280053175
1,508,254,11915872,390,23456.4409448819,5.41359982760444,43.2535381634179
2,222.5,134,4837177,187,10870.0606741573,5.41605257559646,43.2536482626976
1,176,87,4645234,145,26393.375,5.4185053318087,43.2537583031563
1,231,134,5536779,194,23968.7402597403,5.42095809623683,43.2538682847936
1,132,50,3352725,89,25399.4318181818,5.42341086887654,43.2539782076092
1,71,24,1975466,45,27823.4647887324,5.42586364972348,43.2540880716029
1,94,34,2217213,61,23587.3723404255,5.42831643877333,43.2541978767743
1,110,37,2808278,73,25529.8,5.43076923602176,43.254307623123
2,77,28,1905265,52,12371.8506493507,5.43322204146444,43.2544173106488
4,55,22,1334306,40,6065.02727272727,5.43567485509704,43.2545269393514
4,55,22,1334306,40,6065.02727272727,5.43812767691523,43.2546365092304
1,44,24,1049752,38,23858,5.37421499553208,43.253569865858
1,148.5,68,3636685,115,24489.4612794613,5.37666768619771,43.2536809101801
1,116.5,58,2857751,96,24530.0515021459,5.37912038515385,43.2537918956842
1,221,96,4918754,147,22256.8054298643,5.38157309239619,43.25390282237
1,223,104,4557733,175,20438.264573991,5.38402580792038,43.2540136902371
1,40,15,1018676,27,25466.9,5.38647853172211,43.2541244992852
1,386,186,8918866,297,23105.8704663212,5.38893126379704,43.254235249514
